Class Name;Current Object Name;Current Description;New Object Name;New Description
Sessão Leg. da Transf. em Lei;Dat Inicio Sessão Legislativa;Mostra a data completa de início das sessões legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (corresponde à sessão preparatória e de eleição) 2/2/2011 (corresponde ao primeiro dia da 1ª sessão legislativa);Dat Inicio Sessão Legislativa;Mostra a data completa de início das sessões legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (corresponde à sessão preparatória e de eleição) 2/2/2011 (corresponde ao primeiro dia da 1ª sessão legislativa)
Sessão Leg. da Transf. em Lei;Dat Fim Sessão Legislativa;Mostra a data completa de fim das seções legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (fim da sessão preparatória e de eleição) 22/12/2011 (último dia dia da 1ª sessão legislativa);Dat Fim Sessão Legislativa;Mostra a data completa de fim das seções legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (fim da sessão preparatória e de eleição) 22/12/2011 (último dia dia da 1ª sessão legislativa)
Sessão Leg. da Transf. em Lei;Des Tipo Sessão Legislativa;Apresenta a descrição do tipo de sessões legislativas: Ordinárias, Extraordinárias e entre sessões;Des Tipo Sessão Legislativa;Apresenta a descrição do tipo de sessões legislativas: Ordinárias, Extraordinárias e entre sessões
Sessão Leg. da Transf. em Lei;Data Inicial Recesso;"Apresenta a data completa do início da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 30/6/2003; 13/7/2004                                   ";Data Inicial Recesso;"Apresenta a data completa do início da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 30/6/2003; 13/7/2004                                   "
Sessão Leg. da Transf. em Lei;Data Final Recesso;"Apresenta a data completa do fim da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 1/8/2003; 1/8/2004                                   ";Data Final Recesso;"Apresenta a data completa do fim da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 1/8/2003; 1/8/2004                                   "
Sessão Legislativa Veto Total;Num Legislatura Veto Total;Apresenta o número da legislatura em que a proposição sofreu veto total;Num Legislatura Veto Total;Apresenta o número da legislatura em que a proposição sofreu veto total
Sessão Legislativa Veto Total;Num Sessao Legislativa Veto Total;Apresenta o número da sessão legislativa em que a proposição sofreu o veto total;Num Sessao Legislativa Veto Total;Apresenta o número da sessão legislativa em que a proposição sofreu o veto total
Sessão Legislativa Veto Total;Ide Sessao Legislativa;;Ide Sessao Legislativa;
Sessão Legislativa Veto Total;Tipo Sessao Legislativa Veto Total;Apresenta o tipo de sessão legislativa (ordinária, extraordinária, entre sessões) em que a proposição sofreu veto total;Tipo Sessao Legislativa Veto Total;Apresenta o tipo de sessão legislativa (ordinária, extraordinária, entre sessões) em que a proposição sofreu veto total
Sessão Legislativa Veto Total;Cod Tipo Sessao Legislativa Veto Total;;Cod Tipo Sessao Legislativa Veto Total;
Sessão Legislativa Veto Total;Dat Inicio Legislatura;Apresenta a data completa de início de cada legislatura em que a proposição sofreu veto total                     51ª Legislatura: 1/2/1999                                            52ª Legislatura: 1/2/2003                                        53ª Legislatura: 1/2/2007                                        54ª Legislatura: 1/2/2011;Dat Inicio Legislatura;Apresenta a data completa de início de cada legislatura em que a proposição sofreu veto total                     51ª Legislatura: 1/2/1999                                            52ª Legislatura: 1/2/2003                                        53ª Legislatura: 1/2/2007                                        54ª Legislatura: 1/2/2011
Sessão Legislativa Veto Total;Dat Fim Legislatura;Apresenta a data completa de fim de cada legislatura em que a proposição sofreu veto total                     51ª Legislatura: 31/1/2003                                           52ª Legislatura: 31/1/2007                                        53ª Legislatura: 31/1/2011                                        54ª Legislatura: 31/1/2015;Dat Fim Legislatura;Apresenta a data completa de fim de cada legislatura em que a proposição sofreu veto total                     51ª Legislatura: 31/1/2003                                           52ª Legislatura: 31/1/2007                                        53ª Legislatura: 31/1/2011                                        54ª Legislatura: 31/1/2015
Sessão Legislativa Veto Total;Dat Inicio Sessao Legislativa;Mostra a data completa de início das sessões legislativas em cada legislatura em que a proposição sofreu veto total. Por exemplo: 54ª legislatura: 1/2/2011 (corresponde à sessão preparatória e de eleição) 2/2/2011 (corresponde ao primeiro dia da 1ª sessão legislativa);Dat Inicio Sessao Legislativa;Mostra a data completa de início das sessões legislativas em cada legislatura em que a proposição sofreu veto total. Por exemplo: 54ª legislatura: 1/2/2011 (corresponde à sessão preparatória e de eleição) 2/2/2011 (corresponde ao primeiro dia da 1ª sessão legislativa)
